object name,mpageid,has on the left,has on the right,has on the top,has on the bottom,has in the center
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M10001335,,,,,http://www.wikidata.org/entity/Q11442
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M1002076,,,,,http://www.wikidata.org/entity/Q726
airplane,http://commons.wikimedia.org/wiki/Special:EntityData/M10027329,,,,,http://www.wikidata.org/entity/Q197
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10074856,,,,,http://www.wikidata.org/entity/Q870
traffic,http://commons.wikimedia.org/wiki/Special:EntityData/M10074856,,,,,http://www.wikidata.org/entity/Q8004
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M10074960,,,,,http://www.wikidata.org/entity/Q146
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M10094641,,,,,http://www.wikidata.org/entity/Q43193
vase,http://commons.wikimedia.org/wiki/Special:EntityData/M10129466,,,,,http://www.wikidata.org/entity/Q191851
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M10148443,,,,,http://www.wikidata.org/entity/Q726
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10148443,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10148733,,,http://www.wikidata.org/entity/Q5,,
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M10148733,,,,,http://www.wikidata.org/entity/Q726
car,http://commons.wikimedia.org/wiki/Special:EntityData/M10171564,,,,http://www.wikidata.org/entity/Q1420,
car,http://commons.wikimedia.org/wiki/Special:EntityData/M10171564,,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,
car,http://commons.wikimedia.org/wiki/Special:EntityData/M10171564,,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10178417,,,,,http://www.wikidata.org/entity/Q5113
oven,http://commons.wikimedia.org/wiki/Special:EntityData/M10217110,,,,,http://www.wikidata.org/entity/Q36539
cell,http://commons.wikimedia.org/wiki/Special:EntityData/M10217110,,,,,http://www.wikidata.org/entity/Q17517
cup,http://commons.wikimedia.org/wiki/Special:EntityData/M10217112,http://www.wikidata.org/entity/Q81727,,,http://www.wikidata.org/entity/Q81727,
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M10217116,,,,,http://www.wikidata.org/entity/Q40847
knife,http://commons.wikimedia.org/wiki/Special:EntityData/M10217117,,,,,http://www.wikidata.org/entity/Q32489
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M10217119,,,,http://www.wikidata.org/entity/Q40847,
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10225239,,,,,http://www.wikidata.org/entity/Q5113
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10225239,,http://www.wikidata.org/entity/Q5113,,,
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M1024881,,,,,http://www.wikidata.org/entity/Q144
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10283303,,,,,http://www.wikidata.org/entity/Q5113
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10283303,,,,,http://www.wikidata.org/entity/Q5113
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10283430,,http://www.wikidata.org/entity/Q5113,,,
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M10354474,,,,http://www.wikidata.org/entity/Q726,
