X1,Y1,X2,Y2,object name,mpageid,X-centre,Y-centre,dimention,Y-Image Dimentions,X-Image Dimentions,has on the left,has on the right,has on the top,has on the bottom,has in the center,all_QIDs_x,wikidata_URL,all_QIDs_y,URI has on the left,all_QIDs_x,URI has on the right,all_QIDs_y,URI has on the top
9,24,136,126,zebra,M1086035.jpg,72.5,75.0,"(200, 133)",133,200,na,na,na,na,zebra,Q32789,http://www.wikidata.org/entity/Q32789,,,,,,
97,19,179,124,zebra,M1086035.jpg,138.0,71.5,"(200, 133)",133,200,na,zebra,na,na,na,Q32789,http://www.wikidata.org/entity/Q32789,,,Q32789,http://www.wikidata.org/entity/Q32789,,
13,12,175,126,zebra,M1086147.jpg,94.0,69.0,"(200, 133)",133,200,na,na,na,na,zebra,Q32789,http://www.wikidata.org/entity/Q32789,,,,,,
5,14,190,188,dog,M11010144.jpg,97.5,101.0,"(200, 200)",200,200,na,na,na,na,dog,Q144,http://www.wikidata.org/entity/Q144,,,,,,
2,29,198,129,cell,M11127822.jpg,100.0,79.0,"(200, 150)",150,200,na,na,na,na,cell,Q17517,http://www.wikidata.org/entity/Q17517,,,,,,
75,33,181,53,train,M11192744.jpg,128.0,43.0,"(200, 125)",125,200,na,na,na,na,train,Q870,http://www.wikidata.org/entity/Q870,,,,,,
178,98,198,106,car,M11326279.JPG,188.0,102.0,"(200, 150)",150,200,na,car,na,car,na,Q1420,http://www.wikidata.org/entity/Q1420,,,Q1420,http://www.wikidata.org/entity/Q1420,,
13,90,49,112,truck,M11326279.JPG,31.0,101.0,"(200, 150)",150,200,truck,na,na,truck,na,Q43193,http://www.wikidata.org/entity/Q43193,Q43193,http://www.wikidata.org/entity/Q43193,,,,
92,96,106,107,car,M11326279.JPG,99.0,101.5,"(200, 150)",150,200,na,na,na,car,na,Q1420,http://www.wikidata.org/entity/Q1420,,,,,,
49,59,114,245,cell,M11366054.jpg,81.5,152.0,"(200, 299)",299,200,na,na,na,na,cell,Q17517,http://www.wikidata.org/entity/Q17517,,,,,,
38,86,144,184,tv,M11378433.jpg,91.0,135.0,"(200, 300)",300,200,na,na,na,na,tv,Q289,http://www.wikidata.org/entity/Q289,,,,,,
29,42,135,192,dog,M11495762.jpg,82.0,117.0,"(200, 272)",272,200,na,na,na,na,dog,Q144,http://www.wikidata.org/entity/Q144,,,,,,
4,2,183,130,refrigerator,M11711440.JPG,93.5,66.0,"(200, 145)",145,200,na,na,na,na,refrigerator,Q37828,http://www.wikidata.org/entity/Q37828,,,,,,
17,39,171,128,scissors,M11801166.jpg,94.0,83.5,"(199, 150)",150,199,na,na,na,na,scissors,Q40847,http://www.wikidata.org/entity/Q40847,,,,,,
24,17,164,150,bear,M1193803.JPG,94.0,83.5,"(200, 150)",150,200,na,na,na,na,bear,Q30090244,http://www.wikidata.org/entity/Q30090244,,,,,,
102,185,124,238,person,M12036265.JPG,113.0,211.5,"(200, 300)",300,200,na,na,na,person,na,Q5,http://www.wikidata.org/entity/Q5,,,,,,
54,214,78,256,bicycle,M12036265.JPG,66.0,235.0,"(200, 300)",300,200,na,na,na,bicycle,na,Q11442,http://www.wikidata.org/entity/Q11442,,,,,,
65,183,85,228,person,M12036265.JPG,75.0,205.5,"(200, 300)",300,200,na,na,na,person,na,Q5,http://www.wikidata.org/entity/Q5,,,,,,
40,23,186,261,cat,M12127693.jpg,113.0,142.0,"(200, 267)",267,200,na,na,na,na,cat,Q146,http://www.wikidata.org/entity/Q146,,,,,,
17,11,175,250,chair,M12127693.jpg,96.0,130.5,"(200, 267)",267,200,na,na,na,na,chair,Q15026,http://www.wikidata.org/entity/Q15026,,,,,,
17,56,84,92,train,M12172381.jpg,50.5,74.0,"(200, 123)",123,200,train,na,na,na,na,Q870,http://www.wikidata.org/entity/Q870,Q870,http://www.wikidata.org/entity/Q870,,,,
110,10,161,194,bottle,M12721001.jpg,135.5,102.0,"(200, 267)",267,200,na,bottle,na,na,na,Q80228,http://www.wikidata.org/entity/Q80228,,,Q80228,http://www.wikidata.org/entity/Q80228,,
10,68,126,266,wine,M12721001.jpg,68.0,167.0,"(200, 267)",267,200,na,na,na,na,wine,Q1531435,http://www.wikidata.org/entity/Q1531435,,,,,,
48,19,175,110,elephant,M13973.jpg,111.5,64.5,"(200, 133)",133,200,na,na,na,na,elephant,Q7378,http://www.wikidata.org/entity/Q7378,,,,,,
57,19,182,112,horse,M13973.jpg,119.5,65.5,"(200, 133)",133,200,na,na,na,na,horse,Q726,http://www.wikidata.org/entity/Q726,,,,,,
48,164,145,234,boat,M15040830.jpg,96.5,199.0,"(200, 250)",250,200,na,na,na,boat,na,Q35872,http://www.wikidata.org/entity/Q35872,,,,,,
3,48,197,288,person,M15203845.jpg,100.0,168.0,"(200, 301)",301,200,na,na,na,na,person,Q5,http://www.wikidata.org/entity/Q5,,,,,,
92,92,115,130,person,M15351085.jpg,103.5,111.0,"(200, 147)",147,200,na,na,na,person,na,Q5,http://www.wikidata.org/entity/Q5,,,,,,
53,74,93,127,horse,M15351085.jpg,73.0,100.5,"(200, 147)",147,200,na,na,na,horse,na,Q726,http://www.wikidata.org/entity/Q726,,,,,,
145,70,182,96,horse,M15351085.jpg,163.5,83.0,"(200, 147)",147,200,na,horse,na,na,na,Q726,http://www.wikidata.org/entity/Q726,,,Q726,http://www.wikidata.org/entity/Q726,,
119,84,145,136,person,M15351085.jpg,132.0,110.0,"(200, 147)",147,200,na,na,na,person,na,Q5,http://www.wikidata.org/entity/Q5,,,,,,
111,48,186,172,zebra,M1564036.jpg,148.5,110.0,"(200, 189)",189,200,na,zebra,na,na,na,Q32789,http://www.wikidata.org/entity/Q32789,,,Q32789,http://www.wikidata.org/entity/Q32789,,
66,36,110,178,zebra,M1564036.jpg,88.0,107.0,"(200, 189)",189,200,na,na,na,na,zebra,Q32789,http://www.wikidata.org/entity/Q32789,,,,,,
16,39,73,172,zebra,M1564036.jpg,44.5,105.5,"(200, 189)",189,200,zebra,na,na,na,na,Q32789,http://www.wikidata.org/entity/Q32789,Q32789,http://www.wikidata.org/entity/Q32789,,,,
33,44,170,290,refrigerator,M15845229.jpg,101.5,167.0,"(200, 321)",321,200,na,na,na,na,refrigerator,Q37828,http://www.wikidata.org/entity/Q37828,,,,,,
20,69,181,275,elephant,M15925090.jpg,100.5,172.0,"(200, 300)",300,200,na,na,na,na,elephant,Q7378,http://www.wikidata.org/entity/Q7378,,,,,,
0,134,65,204,orange,M164959.jpg,32.5,169.0,"(200, 226)",226,200,orange,na,na,orange,na,Q13191,http://www.wikidata.org/entity/Q13191,Q13191,http://www.wikidata.org/entity/Q13191,,,,
78,94,144,140,orange,M164959.jpg,111.0,117.0,"(200, 226)",226,200,na,na,na,na,orange,Q13191,http://www.wikidata.org/entity/Q13191,,,,,,
119,43,170,109,orange,M164959.jpg,144.5,76.0,"(200, 226)",226,200,na,orange,na,na,na,Q13191,http://www.wikidata.org/entity/Q13191,,,Q13191,http://www.wikidata.org/entity/Q13191,,
133,116,193,186,orange,M164959.jpg,163.0,151.0,"(200, 226)",226,200,na,orange,na,orange,na,Q13191,http://www.wikidata.org/entity/Q13191,,,Q13191,http://www.wikidata.org/entity/Q13191,,
69,133,135,202,orange,M164959.jpg,102.0,167.5,"(200, 226)",226,200,na,na,na,orange,na,Q13191,http://www.wikidata.org/entity/Q13191,,,,,,
20,24,166,108,horse,M1685417.jpg,93.0,66.0,"(200, 133)",133,200,na,na,na,na,horse,Q726,http://www.wikidata.org/entity/Q726,,,,,,
89,20,130,58,person,M1685417.jpg,109.5,39.0,"(200, 133)",133,200,na,na,person,na,na,Q5,http://www.wikidata.org/entity/Q5,,,,,Q5,http://www.wikidata.org/entity/Q5
33,12,143,103,bicycle,M16922847.jpg,88.0,57.5,"(200, 113)",113,200,na,na,na,na,bicycle,Q11442,http://www.wikidata.org/entity/Q11442,,,,,,
21,29,187,132,scissors,M17087210.jpg,104.0,80.5,"(200, 150)",150,200,na,na,na,na,scissors,Q40847,http://www.wikidata.org/entity/Q40847,,,,,,
0,19,154,132,bird,M17171227.jpg,77.0,75.5,"(200, 133)",133,200,na,na,na,na,bird,Q5113,http://www.wikidata.org/entity/Q5113,,,,,,
114,141,146,236,wine,M17287612.jpg,130.0,188.5,"(200, 300)",300,200,na,na,na,na,wine,Q1531435,http://www.wikidata.org/entity/Q1531435,,,,,,
87,108,121,236,bottle,M17287612.jpg,104.0,172.0,"(200, 300)",300,200,na,na,na,na,bottle,Q80228,http://www.wikidata.org/entity/Q80228,,,,,,
51,98,84,229,bottle,M17287612.jpg,67.5,163.5,"(200, 300)",300,200,na,na,na,na,bottle,Q80228,http://www.wikidata.org/entity/Q80228,,,,,,
12,130,48,225,wine,M17287612.jpg,30.0,177.5,"(200, 300)",300,200,wine,na,na,na,na,Q1531435,http://www.wikidata.org/entity/Q1531435,Q1531435,http://www.wikidata.org/entity/Q1531435,,,,
4,60,61,155,potted,M17492101.jpg,32.5,107.5,"(200, 312)",312,200,potted,na,na,na,na,Q203834,http://www.wikidata.org/entity/Q203834,Q203834,http://www.wikidata.org/entity/Q203834,,,,
139,49,191,159,potted,M17492101.jpg,165.0,104.0,"(200, 312)",312,200,na,potted,na,na,na,Q203834,http://www.wikidata.org/entity/Q203834,,,Q203834,http://www.wikidata.org/entity/Q203834,,
31,100,76,225,person,M17649210.jpg,53.5,162.5,"(200, 254)",254,200,person,na,na,na,na,Q5,http://www.wikidata.org/entity/Q5,Q5,http://www.wikidata.org/entity/Q5,,,,
38,32,148,129,fire,M17910617.jpg,93.0,80.5,"(200, 133)",133,200,na,na,na,na,fire,Q634299,http://www.wikidata.org/entity/Q634299,,,,,,
152,43,199,108,car,M17910617.jpg,175.5,75.5,"(200, 133)",133,200,na,car,na,na,na,Q1420,http://www.wikidata.org/entity/Q1420,,,Q1420,http://www.wikidata.org/entity/Q1420,,
57,18,159,127,elephant,M17924651.JPG,108.0,72.5,"(200, 132)",132,200,na,na,na,na,elephant,Q7378,http://www.wikidata.org/entity/Q7378,,,,,,
15,15,175,127,mouse,M18112394.jpg,95.0,71.0,"(200, 142)",142,200,na,na,na,na,mouse,Q7987,http://www.wikidata.org/entity/Q7987,,,,,,
42,29,158,287,vase,M18149226.jpg,100.0,158.0,"(200, 319)",319,200,na,na,na,na,vase,Q191851,http://www.wikidata.org/entity/Q191851,,,,,,
39,21,162,124,train,M18318462.jpg,100.5,72.5,"(200, 133)",133,200,na,na,na,na,train,Q870,http://www.wikidata.org/entity/Q870,,,,,,
93,4,197,118,knife,M1835155.jpg,145.0,61.0,"(200, 145)",145,200,na,knife,na,na,na,Q32489,http://www.wikidata.org/entity/Q32489,,,Q32489,http://www.wikidata.org/entity/Q32489,,
