object name,mpageid,has on the left,has on the right,has on the top,has on the bottom,has in the center
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1086035,,,,,http://www.wikidata.org/entity/Q32789
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1086035,,http://www.wikidata.org/entity/Q32789,,,
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1086147,,,,,http://www.wikidata.org/entity/Q32789
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M11010144,,,,,http://www.wikidata.org/entity/Q144
cell,http://commons.wikimedia.org/wiki/Special:EntityData/M11127822,,,,,http://www.wikidata.org/entity/Q17517
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11192744,,,,,http://www.wikidata.org/entity/Q870
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11326279,,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M11326279,http://www.wikidata.org/entity/Q43193,,,http://www.wikidata.org/entity/Q43193,
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11326279,,,,http://www.wikidata.org/entity/Q1420,
cell,http://commons.wikimedia.org/wiki/Special:EntityData/M11366054,,,,,http://www.wikidata.org/entity/Q17517
tv,http://commons.wikimedia.org/wiki/Special:EntityData/M11378433,,,,,http://www.wikidata.org/entity/Q289
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M11495762,,,,,http://www.wikidata.org/entity/Q144
refrigerator,http://commons.wikimedia.org/wiki/Special:EntityData/M11711440,,,,,http://www.wikidata.org/entity/Q37828
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M11801166,,,,,http://www.wikidata.org/entity/Q40847
bear,http://commons.wikimedia.org/wiki/Special:EntityData/M1193803,,,,,http://www.wikidata.org/entity/Q30090244
person,http://commons.wikimedia.org/wiki/Special:EntityData/M12036265,,,,http://www.wikidata.org/entity/Q5,
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M12036265,,,,http://www.wikidata.org/entity/Q11442,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M12036265,,,,http://www.wikidata.org/entity/Q5,
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M12127693,,,,,http://www.wikidata.org/entity/Q146
chair,http://commons.wikimedia.org/wiki/Special:EntityData/M12127693,,,,,http://www.wikidata.org/entity/Q15026
train,http://commons.wikimedia.org/wiki/Special:EntityData/M12172381,http://www.wikidata.org/entity/Q870,,,,
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M12721001,,http://www.wikidata.org/entity/Q80228,,,
wine,http://commons.wikimedia.org/wiki/Special:EntityData/M12721001,,,,,http://www.wikidata.org/entity/Q1531435
elephant,http://commons.wikimedia.org/wiki/Special:EntityData/M13973,,,,,http://www.wikidata.org/entity/Q7378
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M13973,,,,,http://www.wikidata.org/entity/Q726
boat,http://commons.wikimedia.org/wiki/Special:EntityData/M15040830,,,,http://www.wikidata.org/entity/Q35872,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M15203845,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M15351085,,,,http://www.wikidata.org/entity/Q5,
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M15351085,,,,http://www.wikidata.org/entity/Q726,
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M15351085,,http://www.wikidata.org/entity/Q726,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M15351085,,,,http://www.wikidata.org/entity/Q5,
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1564036,,http://www.wikidata.org/entity/Q32789,,,
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1564036,,,,,http://www.wikidata.org/entity/Q32789
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1564036,http://www.wikidata.org/entity/Q32789,,,,
refrigerator,http://commons.wikimedia.org/wiki/Special:EntityData/M15845229,,,,,http://www.wikidata.org/entity/Q37828
elephant,http://commons.wikimedia.org/wiki/Special:EntityData/M15925090,,,,,http://www.wikidata.org/entity/Q7378
orange,http://commons.wikimedia.org/wiki/Special:EntityData/M164959,http://www.wikidata.org/entity/Q13191,,,http://www.wikidata.org/entity/Q13191,
orange,http://commons.wikimedia.org/wiki/Special:EntityData/M164959,,,,,http://www.wikidata.org/entity/Q13191
orange,http://commons.wikimedia.org/wiki/Special:EntityData/M164959,,http://www.wikidata.org/entity/Q13191,,,
orange,http://commons.wikimedia.org/wiki/Special:EntityData/M164959,,http://www.wikidata.org/entity/Q13191,,http://www.wikidata.org/entity/Q13191,
orange,http://commons.wikimedia.org/wiki/Special:EntityData/M164959,,,,http://www.wikidata.org/entity/Q13191,
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M1685417,,,,,http://www.wikidata.org/entity/Q726
person,http://commons.wikimedia.org/wiki/Special:EntityData/M1685417,,,http://www.wikidata.org/entity/Q5,,
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M16922847,,,,,http://www.wikidata.org/entity/Q11442
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M17087210,,,,,http://www.wikidata.org/entity/Q40847
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M17171227,,,,,http://www.wikidata.org/entity/Q5113
wine,http://commons.wikimedia.org/wiki/Special:EntityData/M17287612,,,,,http://www.wikidata.org/entity/Q1531435
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M17287612,,,,,http://www.wikidata.org/entity/Q80228
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M17287612,,,,,http://www.wikidata.org/entity/Q80228
wine,http://commons.wikimedia.org/wiki/Special:EntityData/M17287612,http://www.wikidata.org/entity/Q1531435,,,,
potted,http://commons.wikimedia.org/wiki/Special:EntityData/M17492101,http://www.wikidata.org/entity/Q203834,,,,
potted,http://commons.wikimedia.org/wiki/Special:EntityData/M17492101,,http://www.wikidata.org/entity/Q203834,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M17649210,http://www.wikidata.org/entity/Q5,,,,
fire,http://commons.wikimedia.org/wiki/Special:EntityData/M17910617,,,,,http://www.wikidata.org/entity/Q634299
car,http://commons.wikimedia.org/wiki/Special:EntityData/M17910617,,http://www.wikidata.org/entity/Q1420,,,
elephant,http://commons.wikimedia.org/wiki/Special:EntityData/M17924651,,,,,http://www.wikidata.org/entity/Q7378
mouse,http://commons.wikimedia.org/wiki/Special:EntityData/M18112394,,,,,http://www.wikidata.org/entity/Q7987
vase,http://commons.wikimedia.org/wiki/Special:EntityData/M18149226,,,,,http://www.wikidata.org/entity/Q191851
train,http://commons.wikimedia.org/wiki/Special:EntityData/M18318462,,,,,http://www.wikidata.org/entity/Q870
knife,http://commons.wikimedia.org/wiki/Special:EntityData/M1835155,,http://www.wikidata.org/entity/Q32489,,,
toothbrush,http://commons.wikimedia.org/wiki/Special:EntityData/M1835155,http://www.wikidata.org/entity/Q134205,,,,
chair,http://commons.wikimedia.org/wiki/Special:EntityData/M18418463,,,,,http://www.wikidata.org/entity/Q15026
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M18523021,,,,,http://www.wikidata.org/entity/Q146
bed,http://commons.wikimedia.org/wiki/Special:EntityData/M18523021,,,,,http://www.wikidata.org/entity/Q42177
bus,http://commons.wikimedia.org/wiki/Special:EntityData/M18906321,,,,,http://www.wikidata.org/entity/Q5638
fire,http://commons.wikimedia.org/wiki/Special:EntityData/M19081817,,,,,http://www.wikidata.org/entity/Q634299
clock,http://commons.wikimedia.org/wiki/Special:EntityData/M19296088,,,,,http://www.wikidata.org/entity/Q376
train,http://commons.wikimedia.org/wiki/Special:EntityData/M19584033,,,,,http://www.wikidata.org/entity/Q870
train,http://commons.wikimedia.org/wiki/Special:EntityData/M19748185,,,,,http://www.wikidata.org/entity/Q870
bus,http://commons.wikimedia.org/wiki/Special:EntityData/M20309338,,,,,http://www.wikidata.org/entity/Q5638
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M20372824,,,,,http://www.wikidata.org/entity/Q40847
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M20642221,,,,,http://www.wikidata.org/entity/Q144
apple,http://commons.wikimedia.org/wiki/Special:EntityData/M2094427,,http://www.wikidata.org/entity/Q89,,,
apple,http://commons.wikimedia.org/wiki/Special:EntityData/M2094427,http://www.wikidata.org/entity/Q89,,,,
bowl,http://commons.wikimedia.org/wiki/Special:EntityData/M21473036,,,,,http://www.wikidata.org/entity/Q153988
cup,http://commons.wikimedia.org/wiki/Special:EntityData/M21473036,,,,,http://www.wikidata.org/entity/Q81727
spoon,http://commons.wikimedia.org/wiki/Special:EntityData/M21473036,http://www.wikidata.org/entity/Q81895,,http://www.wikidata.org/entity/Q81895,,
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M217417,,,,,http://www.wikidata.org/entity/Q146
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M217417,,,,,http://www.wikidata.org/entity/Q144
person,http://commons.wikimedia.org/wiki/Special:EntityData/M21893658,,,,,http://www.wikidata.org/entity/Q5
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M22174701,,http://www.wikidata.org/entity/Q80228,,,
wine,http://commons.wikimedia.org/wiki/Special:EntityData/M22174701,,,,,http://www.wikidata.org/entity/Q1531435
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M22416093,,,,,http://www.wikidata.org/entity/Q11442
train,http://commons.wikimedia.org/wiki/Special:EntityData/M22475327,,,,http://www.wikidata.org/entity/Q870,
bus,http://commons.wikimedia.org/wiki/Special:EntityData/M22475327,http://www.wikidata.org/entity/Q5638,,,,
bus,http://commons.wikimedia.org/wiki/Special:EntityData/M22475327,,,,,http://www.wikidata.org/entity/Q5638
motorcycle,http://commons.wikimedia.org/wiki/Special:EntityData/M22834530,,,,,http://www.wikidata.org/entity/Q34493
chair,http://commons.wikimedia.org/wiki/Special:EntityData/M22834530,http://www.wikidata.org/entity/Q15026,,,,
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M22834530,http://www.wikidata.org/entity/Q11442,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M2316155,,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M2316155,,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M24107354,,,,,http://www.wikidata.org/entity/Q5
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M2431391,,,,,http://www.wikidata.org/entity/Q32789
person,http://commons.wikimedia.org/wiki/Special:EntityData/M24722150,,,,,http://www.wikidata.org/entity/Q5
banana,http://commons.wikimedia.org/wiki/Special:EntityData/M24722150,,http://www.wikidata.org/entity/Q503,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M24867972,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M24867972,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M24867972,,,,,http://www.wikidata.org/entity/Q5
car,http://commons.wikimedia.org/wiki/Special:EntityData/M24867972,http://www.wikidata.org/entity/Q1420,,,,
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M24867972,,,,,http://www.wikidata.org/entity/Q43193
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M24950848,,,,,http://www.wikidata.org/entity/Q40847
banana,http://commons.wikimedia.org/wiki/Special:EntityData/M25211373,,,,,
elephant,http://commons.wikimedia.org/wiki/Special:EntityData/M2530565,http://www.wikidata.org/entity/Q7378,,,,
kite,http://commons.wikimedia.org/wiki/Special:EntityData/M25460210,,,,,http://www.wikidata.org/entity/Q42861
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M25623232,,,,,http://www.wikidata.org/entity/Q144
person,http://commons.wikimedia.org/wiki/Special:EntityData/M25672593,,,,,http://www.wikidata.org/entity/Q5
tie,http://commons.wikimedia.org/wiki/Special:EntityData/M25672593,,,,http://www.wikidata.org/entity/Q44416,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M25675078,,,,,http://www.wikidata.org/entity/Q5
tie,http://commons.wikimedia.org/wiki/Special:EntityData/M25675078,,,,http://www.wikidata.org/entity/Q44416,
fork,http://commons.wikimedia.org/wiki/Special:EntityData/M25692738,,,,,http://www.wikidata.org/entity/Q81881
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M25881901,,,,,http://www.wikidata.org/entity/Q5113
dining,http://commons.wikimedia.org/wiki/Special:EntityData/M25890586,,,,,http://www.wikidata.org/entity/Q10578291
cake,http://commons.wikimedia.org/wiki/Special:EntityData/M25890586,,,,,http://www.wikidata.org/entity/Q13276
car,http://commons.wikimedia.org/wiki/Special:EntityData/M26438930,,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,
wine,http://commons.wikimedia.org/wiki/Special:EntityData/M26539,,,,,http://www.wikidata.org/entity/Q1531435
wine,http://commons.wikimedia.org/wiki/Special:EntityData/M26539,http://www.wikidata.org/entity/Q1531435,,,http://www.wikidata.org/entity/Q1531435,
motorcycle,http://commons.wikimedia.org/wiki/Special:EntityData/M26676892,,,,http://www.wikidata.org/entity/Q34493,
clock,http://commons.wikimedia.org/wiki/Special:EntityData/M26686856,,,,,http://www.wikidata.org/entity/Q376
cell,http://commons.wikimedia.org/wiki/Special:EntityData/M2694592,,,,,http://www.wikidata.org/entity/Q17517
bus,http://commons.wikimedia.org/wiki/Special:EntityData/M27480678,,,,,http://www.wikidata.org/entity/Q5638
boat,http://commons.wikimedia.org/wiki/Special:EntityData/M28263516,,,,http://www.wikidata.org/entity/Q35872,
bed,http://commons.wikimedia.org/wiki/Special:EntityData/M28670185,,,,http://www.wikidata.org/entity/Q42177,
bench,http://commons.wikimedia.org/wiki/Special:EntityData/M28710276,,http://www.wikidata.org/entity/Q204776,,http://www.wikidata.org/entity/Q204776,
chair,http://commons.wikimedia.org/wiki/Special:EntityData/M2929515,http://www.wikidata.org/entity/Q15026,,,http://www.wikidata.org/entity/Q15026,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M29399965,http://www.wikidata.org/entity/Q5,,,,
umbrella,http://commons.wikimedia.org/wiki/Special:EntityData/M29399965,,,http://www.wikidata.org/entity/Q41607,,
