dimention,mpageid,Y-Image Dimentions,X-Image Dimentions
"(200, 133)",M1086035.jpg,133,200
"(200, 133)",M1086147.jpg,133,200
"(200, 200)",M11010144.jpg,200,200
"(200, 150)",M11127822.jpg,150,200
"(200, 125)",M11192744.jpg,125,200
"(200, 285)",M11254081.jpg,285,200
"(200, 150)",M11326279.JPG,150,200
"(200, 299)",M11366054.jpg,299,200
"(200, 300)",M11378433.jpg,300,200
"(200, 272)",M11495762.jpg,272,200
"(200, 145)",M11711440.JPG,145,200
"(199, 150)",M11801166.jpg,150,199
"(200, 150)",M1193803.JPG,150,200
"(200, 300)",M12036265.JPG,300,200
"(200, 267)",M12127693.jpg,267,200
"(200, 123)",M12172381.jpg,123,200
"(200, 267)",M12721001.jpg,267,200
"(200, 133)",M13973.jpg,133,200
"(200, 133)",M14936201.jpg,133,200
"(200, 250)",M15040830.jpg,250,200
"(200, 250)",M151972.jpg,250,200
"(200, 301)",M15203845.jpg,301,200
"(200, 147)",M15351085.jpg,147,200
"(200, 189)",M1564036.jpg,189,200
"(200, 150)",M15682048.jpg,150,200
"(200, 321)",M15845229.jpg,321,200
"(200, 300)",M15925090.jpg,300,200
"(200, 133)",M15960507.jpg,133,200
"(200, 226)",M164959.jpg,226,200
"(200, 133)",M1685417.jpg,133,200
"(200, 113)",M16922847.jpg,113,200
"(200, 150)",M17087210.jpg,150,200
"(200, 133)",M17171227.jpg,133,200
"(200, 300)",M17287612.jpg,300,200
"(200, 123)",M17355492.jpg,123,200
"(200, 312)",M17492101.jpg,312,200
"(200, 254)",M17649210.jpg,254,200
"(200, 133)",M17910617.jpg,133,200
"(200, 132)",M17924651.JPG,132,200
"(200, 142)",M18112394.jpg,142,200
"(200, 319)",M18149226.jpg,319,200
"(200, 240)",M18149323.jpg,240,200
"(200, 133)",M18318462.jpg,133,200
"(200, 145)",M1835155.jpg,145,200
"(200, 138)",M18418463.JPG,138,200
"(200, 168)",M18523021.jpg,168,200
"(200, 133)",M18906321.jpg,133,200
"(200, 135)",M19081817.JPG,135,200
"(200, 200)",M19296088.jpg,200,200
"(200, 126)",M19584033.jpg,126,200
"(200, 189)",M19723954.jpg,189,200
"(200, 123)",M19748185.jpg,123,200
"(200, 141)",M20034536.jpg,141,200
"(199, 115)",M20224699.JPG,115,199
"(200, 384)",M20271983.jpg,384,200
"(200, 108)",M20309338.jpg,108,200
"(200, 124)",M20372824.png,124,200
"(200, 142)",M20420642.JPG,142,200
"(200, 165)",M20642221.jpg,165,200
"(200, 144)",M2094427.jpg,144,200
"(200, 232)",M21142908.png,232,200
